Date,Close
5/21/2015 16:00:00,25.68
5/22/2015 16:00:00,28.31
5/26/2015 16:00:00,29.65
5/27/2015 16:00:00,27.5
5/28/2015 16:00:00,27.45
5/29/2015 16:00:00,27.2
6/1/2015 16:00:00,27.33
6/2/2015 16:00:00,26.95
6/3/2015 16:00:00,27.44
6/4/2015 16:00:00,26.78
6/5/2015 16:00:00,27.39
6/8/2015 16:00:00,26.98
6/9/2015 16:00:00,28.34
6/10/2015 16:00:00,28.1
6/11/2015 16:00:00,30.73
6/12/2015 16:00:00,33.63
6/15/2015 16:00:00,35.5
6/16/2015 16:00:00,38.11
6/17/2015 16:00:00,38.63
6/18/2015 16:00:00,35.55
6/19/2015 16:00:00,35.52
6/22/2015 16:00:00,36.94
6/23/2015 16:00:00,35.43
6/24/2015 16:00:00,35.96
6/25/2015 16:00:00,34.84
6/26/2015 16:00:00,33.52
6/29/2015 16:00:00,31.32
6/30/2015 16:00:00,33.95
7/1/2015 16:00:00,31.11
7/2/2015 16:00:00,31.31
7/6/2015 16:00:00,30.53
7/7/2015 16:00:00,30.76
7/8/2015 16:00:00,29.19
7/9/2015 16:00:00,29.06
7/10/2015 16:00:00,29.6
7/13/2015 16:00:00,30.42
7/14/2015 16:00:00,30.86
7/15/2015 16:00:00,29.34
7/16/2015 16:00:00,29.39
7/17/2015 16:00:00,32.27
7/20/2015 16:00:00,33.75
7/21/2015 16:00:00,33.22
7/22/2015 16:00:00,32.14
7/23/2015 16:00:00,33.11
7/24/2015 16:00:00,33.57
7/27/2015 16:00:00,32.87
7/28/2015 16:00:00,34.06
7/29/2015 16:00:00,34.16
7/30/2015 16:00:00,38.13
7/31/2015 16:00:00,37.39
8/3/2015 16:00:00,40.36
8/4/2015 16:00:00,38.41
8/5/2015 16:00:00,38.45
8/6/2015 16:00:00,36.28
8/7/2015 16:00:00,35.16
8/10/2015 16:00:00,33.47
8/11/2015 16:00:00,35.14
8/12/2015 16:00:00,34.73
8/13/2015 16:00:00,35.31
8/14/2015 16:00:00,34.56
8/17/2015 16:00:00,34.41
8/18/2015 16:00:00,32.6
8/19/2015 16:00:00,31.1
8/20/2015 16:00:00,29.22
8/21/2015 16:00:00,27.77
8/24/2015 16:00:00,26.28
8/25/2015 16:00:00,26.93
8/26/2015 16:00:00,28.22
8/27/2015 16:00:00,28.51
8/28/2015 16:00:00,28
8/31/2015 16:00:00,27.54
9/1/2015 16:00:00,26.6
9/2/2015 16:00:00,26.7
9/3/2015 16:00:00,27.15
9/4/2015 16:00:00,26.81
9/8/2015 16:00:00,27.14
9/9/2015 16:00:00,26.01
9/10/2015 16:00:00,25.77
9/11/2015 16:00:00,26.36
9/14/2015 16:00:00,27.21
9/15/2015 16:00:00,28.11
9/16/2015 16:00:00,28.91
9/17/2015 16:00:00,35.55
9/18/2015 16:00:00,35.66
9/21/2015 16:00:00,34.83
9/22/2015 16:00:00,33.66
9/23/2015 16:00:00,33.5
9/24/2015 16:00:00,33.47
9/25/2015 16:00:00,33.91
9/28/2015 16:00:00,33.05
9/29/2015 16:00:00,33.64
9/30/2015 16:00:00,35.2
10/1/2015 16:00:00,35.07
10/2/2015 16:00:00,35.81
10/5/2015 16:00:00,36.76
10/6/2015 16:00:00,36.21
10/7/2015 16:00:00,37.33
10/8/2015 16:00:00,38.24
10/9/2015 16:00:00,37.02
10/12/2015 16:00:00,34.31
10/13/2015 16:00:00,33.12
10/14/2015 16:00:00,33.64
10/15/2015 16:00:00,34.14
10/16/2015 16:00:00,34.33
10/19/2015 16:00:00,33.36
10/20/2015 16:00:00,31.5
10/21/2015 16:00:00,31.95
10/22/2015 16:00:00,32.01
10/23/2015 16:00:00,31.66
10/26/2015 16:00:00,31.07
10/27/2015 16:00:00,31.04
10/28/2015 16:00:00,31.12
10/29/2015 16:00:00,31.59
